,Name,City,Country,IATA,Latitude,Longitude
261,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.474269866943359,7.561960220336914
263,Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136413574,3.97832989692688
264,Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342407228,4.493919849395752
265,Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829635620117,8.869050025939941
266,Kaduna Airport,Kaduna,Nigeria,KAD,10.696000099182127,7.320109844207764
267,Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0476,8.52462
268,Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.855299949645994,13.080900192260742
269,Makurdi Airport,Makurdi,Nigeria,MDI,7.703880000000002,8.61394
270,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.5773701667785645,3.321160078048706
271,Minna Airport,Minna,Nigeria,MXJ,9.652170181274414,6.462259769439697
272,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.0154900550842285,6.94959020614624
273,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.916299819946287,5.207190036773682
274,Yola Airport,Yola,Nigeria,YOL,9.257550239562988,12.430399894714355
275,Zaria Airport,Zaria,Nigeria,ZAR,11.1302,7.685810000000001
276,Maradi Airport,Maradi,Niger,MFQ,13.5024995803833,7.1267499923706055
277,Diori Hamani International Airport,Niamey,Niger,NIM,13.4815,2.18361
278,Tahoua Airport,Tahoua,Niger,THZ,14.875699996948242,5.265359878540039
279,Mano Dayak International Airport,Agadez,Niger,AJY,16.965999603271484,8.000109672546388
282,Zinder Airport,Zinder,Niger,ZND,13.779000282287598,8.983759880065918
283,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.75809860229492,10.75469970703125
284,Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.85100173950195,10.22719955444336
287,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.42200088500977,8.822500228881836
288,Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.87689971923828,10.103300094604492
290,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.775500297546387
291,El Borma Airport,El Borma,Tunisia,EBM,31.70429992675781,9.254619598388672
292,Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.71799850463867,10.690999984741213
293,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.939701080322266,8.110560417175293
294,Niamtougou International Airport,Niatougou,Togo,LRL,9.767330169677734,1.0912499427795408
295,Lomé-Tokoin Airport,Lome,Togo,LFW,6.165609836578369,1.2545100450515747
296,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.189399719200004,4.46027994156
299,Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.48443984985
301,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.45920200000001,4.45382
305,Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,50.817199707,3.2047200202900004
306,Liège Airport,Liege,Belgium,LGG,50.63740158081055,5.443220138549805
307,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.1988983154,2.8622200489
313,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,51.264702,4.75333
315,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.981945,12.506389
321,Riesa-Göhlis Airport,Riesa,Germany,IES,51.293609619099996,13.3561105728
322,Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,53.306388855,12.7522220612
324,Schönhagen Airport,Schoenhagen,Germany,QXH,52.203609,13.156389
325,Barth Airport,Barth,Germany,BBH,54.338253,12.710515
328,"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,52.073612,11.626389
331,Cottbus-Drewitz Airport,Cottbus,Germany,CBU,51.889442,14.531944
333,Berlin-Schönefeld Airport,Berlin,Germany,SXF,52.380001,13.5225
334,Dresden Airport,Dresden,Germany,DRS,51.1328010559082,13.767200469970705
335,Erfurt Airport,Erfurt,Germany,ERF,50.97980117797852,10.958100318908693
336,Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556
337,Münster Osnabrück Airport,Munster,Germany,FMO,52.134601593,7.68483018875
338,Hamburg Airport,Hamburg,Germany,HAM,53.630401611328004,9.988229751586902
339,Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.472999572753906,13.403900146484375
340,Cologne Bonn Airport,Cologne,Germany,CGN,50.865898132299996,7.1427397728
341,Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.766780000000002
342,Munich Airport,Munich,Germany,MUC,48.353802,11.7861
343,Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056
344,Leipzig/Halle Airport,Leipzig,Germany,LEJ,51.423889,12.236389
345,Saarbrücken Airport,Saarbruecken,Germany,SCN,49.2145996094,7.10950994492
346,Stuttgart Airport,Stuttgart,Germany,STR,48.6898994446,9.22196006775
347,Berlin-Tegel Airport,Berlin,Germany,TXL,52.5597,13.2877
348,Hannover Airport,Hannover,Germany,HAJ,52.461101532,9.685079574580001
349,Bremen Airport,Bremen,Germany,BRE,53.0475006104,8.78666973114
350,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.959999,8.645833
351,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.263889999999999
352,Mannheim-City Airport,Mannheim,Germany,MHG,49.473057,8.514167
356,Eisenach-Kindel Airport,Eisenach,Germany,EIB,50.991604,10.47973
357,Siegerland Airport,Siegerland,Germany,SGE,50.70769882202149,8.082969665527344
358,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.5352783203125,9.835556030273438
359,Kiel-Holtenau Airport,Kiel,Germany,KEL,54.37944412231445,10.145277976989746
